IWLastEpisode,IWMin,ReturnMax,IWMean,IWFirstEpisode,TimestepsSoFar,LQGsigma_higher,DenMISELogFirst,DenMISELogLast,ReturnStepMax,IWMax,TimeElapsed,ReturnAbsMax,Bound,LQGmu1_actor,ReturnMin,Iteration,LQGmu1_higher,MISE,DenMISEMeanLog,ReturnLastEpisode,ReturnMean
0.94854295,,17.343918,1.0048121,0.4519296,2120,0.11,0.0041883374,1.1950175,19.12953,1.7966467,42.73388719558716,17.343918,16.612324,-0.17285255,,106,-0.23232323,16.612324,0.7750736,16.466806,16.041195
1.7664024,,17.343918,1.0010588,0.3071573,2140,0.11,-0.00094691035,0.3133007,19.12953,2.615981,43.17617583274841,17.343918,16.703938,-0.35165846,,107,-0.25252524,16.703938,0.7707978,17.266209,16.052645
1.2333115,,17.343918,1.0010362,0.3091405,2160,0.11,-0.0073827566,1.0774097,19.12953,2.5774157,43.578097343444824,17.343918,16.704922,-0.2579673,,108,-0.25252524,16.704922,0.7736364,17.081438,16.06217
1.3136141,,17.343918,1.0018157,0.31111237,2180,0.11,-0.013741056,0.99572384,19.12953,2.540648,44.00398921966553,17.343918,16.71998,-0.2744317,,109,-0.25252524,16.71998,0.7756737,17.11195,16.071802
0.86809295,,17.343918,1.0067135,0.46300513,2200,0.11,-0.020023342,1.1091256,19.12953,1.7080898,44.43690276145935,17.343918,16.652992,-0.14423153,,110,-0.23232323,16.652992,0.7787122,16.56554,16.07629
0.6080546,,17.343918,1.0022045,0.46525595,2220,0.11,-0.024872895,0.51424384,19.12953,1.6972628,44.968705892562866,17.343918,16.563013,-0.05690284,,111,-0.23232323,16.563013,0.77638566,14.175294,16.059164
1.3720542,,17.343918,1.0046469,0.467488,2240,0.11,-0.02965883,0.5976046,19.12953,1.6867617,45.390345096588135,17.343918,16.60954,-0.32751268,,112,-0.23232323,16.60954,0.7748052,17.228182,16.069601
1.0818179,,17.343918,1.0044659,0.46970144,2260,0.11,-0.03438246,1.2012143,19.12953,1.6765723,45.87404441833496,17.343918,16.606888,-0.2179985,,113,-0.23232323,16.606888,0.7786158,16.817757,16.076221
1.2109435,,17.343918,1.0054421,0.47189656,2280,0.11,-0.039045017,1.0484579,19.12953,1.666681,46.28644251823425,17.343918,16.627111,-0.266575,,114,-0.23232323,16.627111,0.7810181,17.1376,16.085533
1.8503538,,17.343918,1.0016034,0.32055727,2300,0.11,-0.04364779,0.016329112,19.12953,2.4307222,46.69338250160217,17.343918,16.71702,-0.3785826,,115,-0.25252524,16.71702,0.77441216,17.305037,16.096138
